id,user_id,wallet_address,transaction_hash,amount_sol,amount_usd,purchase_date,status
0ab00b70-f5f5-462d-99a1-a9da0afd9d47,497216316940353537,3vHXAbWJeVztNgvmRLopcZFHi9MCywLddDGpahd2FDNe,9m3sJmCyUQoxe1mm8UPiJH9CEPmpG37nvdn2EjmNVV6HRwguTp8QVKrwf6dGN9uFdXQw9Ve9DxQwe7xPXyNDCWy,0.02,3.24,2025-08-06 04:31:51.968042+00,completed
0dcc0c80-89d7-4917-9949-0cfcdd1db8e1,919077298844606535,6uUaytu2drVXwqYj6D7w2tp5aFwVtdDfXgCeeNoU2dvZ,5cSg7Xx8sLcMQ9CRKWNBqPvtjJoZHpxyoohvrawFvWiz3DAXz8jMHyV6Cw5rEd5FvXz3veqbZbLTxvUDtTkKBNis,0.02,3.77,2025-07-28 03:37:39.340578+00,completed
0de144cf-666f-4c2a-9149-9d4806b9371b,1065935693681004545,4amECxkQtzRHccmUfZhxe4jGUwG7a8NxxLRAMmTcKeB8,61NfsU5ekuctfDGfZH3wm2qUDXLTBceNqsE2ozv2Hpa9HjNsgKbwADd1n14fJe41D4mcseWcMtGhU3bypkdtegXD,0.02,3.99,2025-07-22 20:06:33.366518+00,completed
0f225808-8f54-4638-9f42-2aacd03131e4,718463159836344401,Bj3cmvM6MdDC1BrNP75Md8VxobNbaU1ay1yBQzgimobT,5ieDokHEN9WeFWcZ9eTEHZVKNLmFw3RrQFP2XpjF7U2EuweisFAyFYFoeRq6Z9WQmBA3gJQXyVxuU3Hazjkak8Zd,0.02,3.5,2025-08-01 20:45:07.019967+00,completed
0fe2b0df-a42c-4d2b-82ee-bd19c56c5117,1372181878680981544,41e838h4fAPrsibsBhXLJg2wbb4rsSFqw67xgpK7CpT7,61hyzkNnicghRudkNeJur2QDtP2dqwRde7LqeiDBCzv3ohK2dXPCuJQzwQfM14ngCK5v4z3iVU5udmyLFYHdHaNf,0.02,3.49,2025-08-08 01:12:14.004791+00,completed
11aa3302-f6ba-4a0b-94e1-a554cc197569,886275038137954305,5wzrpPshvvHHoGWo1gvHMnmMu9ZZzfwiPiHHfbveYwuh,639Qq1T77uXndcNoU61MmqbLqXnS9zLbtNuoqBqDYmk7jqS3XupFDBd8hUEDLiRWp99XCJ29aTiXDMMJihoHMrfj,0.02,4.05,2025-07-22 13:17:36.375265+00,completed
129c68d2-8206-4540-b06d-0034d4dd4048,502026417232543754,Dn4KHwX74YPgFy6wbzBHqNZLPtvYw6GQ5NMGAxLueLBf,4wteaKJGfukeTehBvny435Pt9Q8FWrjwbTpYGEJw6fxcEDgh9wsujRFchEtwzyiQ99C5kuUMoWiiHFCvMbWM63zq,0.02,3.57,2025-08-11 21:35:55.545889+00,completed
13244ab3-253d-41f5-901c-1cdf22ffc951,596105037617561601,CbXKTPdYR5CDJH845VWaUC8tjVkGGQ3WQZZrpPYLw8sK,t7t1JZayUAdbVmkUxxqaf6XumKqH8uQoZmkRW3HJrw67pMrXNUb8jL8STw8nN4i6Nxcg7YShm5kvn6WTnCibZVp,0.02,4.01,2025-07-22 21:40:04.159195+00,completed
136e7244-4c72-4169-b484-05437abc197d,531114528537182208,HbMeYnS9FywAcDaR94Xk7pkukGTmhkh8quv5hQ7ptnLx,2L1PfdiMV1DHCyqyN22LrrykvAqtWQ2jNGfNUsyPVcoRFgRuMFiw6JAcWkVJG3YkGRKHv1hZyZcshypqa2sWMZ8A,0.02,3.28,2025-08-05 19:22:26.425393+00,completed
137a7350-be81-4256-9f57-b4590b3d8f7d,897407411520958505,CWErigNLzy4G2LZpv2ZZX2mnnKirb3sVDdsKsmNn6AJX,2C8eqVYy1oBaSftUdLH6Ao5cLXefZerG2Tghm5RsSmjWb91yAb8M9Wdz48Zp96UPw62KKhdAmpS5qnRKZeL1XGK8,0.02,3.6,2025-08-01 20:00:39.251095+00,completed
